Timestamp,age,pineapple_on_pizza,tatsed_pineapple_pizza,Slices_of_Pizza
4/10/2025 21:56:07,19,Yes,Yes,6
4/10/2025 21:56:18,41,Yes,Yes,3
4/10/2025 21:56:30,19,Yes,Yes,5
4/10/2025 21:57:03,25,No,Yes,4
4/10/2025 21:57:19,28,No,Yes,7
4/10/2025 22:03:11,22,Yes,Yes,5
4/10/2025 22:03:23,29,Yes,Yes,3
4/10/2025 22:03:40,34,Yes,Yes,5
4/10/2025 22:03:57,18,No,No,3
4/10/2025 22:04:13,19,No,No,7
4/10/2025 22:04:35,18,Yes,Yes,4
4/10/2025 22:05:00,61,Yes,Yes,3
4/10/2025 22:05:34,21,Yes,Yes,7
4/10/2025 22:05:55,21,No,No,5
4/10/2025 22:06:27,20,Yes,Yes,5
4/10/2025 22:06:44,20,No,No,6
4/10/2025 22:15:15,18,No,Yes,3
4/11/2025 9:28:09,20,Yes,Yes,5
4/11/2025 9:28:19,21,No,No,5
4/11/2025 9:28:29,19,No,No,6
4/11/2025 9:28:43,52,Yes,Yes,4
4/11/2025 9:28:55,21,No,No,3
4/11/2025 9:29:15,16,No,No,4
4/11/2025 9:29:30,17,Yes,Yes,6
4/11/2025 9:32:56,16,Yes,Yes,6
4/11/2025 9:34:16,22,No,No,2
4/11/2025 9:34:38,55,No,No,2
4/14/2025 9:12:06,21,No,No,6
4/14/2025 9:12:18,22,No,No,3
4/14/2025 9:12:34,42,Yes,Yes,5
4/14/2025 9:12:44,36,Yes,Yes,4
4/14/2025 9:12:56,45,No,No,3
4/14/2025 9:13:09,16,Yes,Yes,6
4/14/2025 9:13:19,16,No,No,6
4/14/2025 9:13:31,20,Yes,Yes,4
4/14/2025 9:14:09,12,Yes,No,3
4/14/2025 9:15:30,55,Yes,Yes,4
4/14/2025 9:15:43,23,No,No,5
4/14/2025 9:15:56,22,No,No,3
4/14/2025 9:16:17,21,Yes,Yes,5
4/14/2025 9:17:21,30,No,No,5
4/14/2025 9:18:00,25,No,No,5
4/14/2025 9:18:46,24,No,No,4
4/14/2025 9:18:58,24,No,No,6
4/14/2025 9:19:26,19,No,No,7
4/14/2025 9:19:40,19,Yes,Yes,5
4/14/2025 9:20:09,28,Yes,Yes,3
4/14/2025 9:20:27,20,Yes,Yes,5
4/14/2025 9:20:43,20,No,No,4
4/14/2025 9:21:06,25,Yes,Yes,4
4/14/2025 9:21:26,20,Yes,No,5
4/14/2025 9:21:50,20,No,Yes,4
4/14/2025 9:22:03,21,No,Yes,5
4/14/2025 9:22:55,23,No,Yes,4
4/14/2025 9:23:09,24,No,Yes,2
4/14/2025 9:23:22,25,No,Yes,6
4/14/2025 9:23:40,34,No,Yes,5
4/14/2025 9:24:00,61,Yes,Yes,3
4/14/2025 9:25:06,21,No,Yes,5
4/14/2025 9:25:42,45,No,Yes,5
4/14/2025 10:05:27,20,No,Yes,5
4/14/2025 10:05:44,22,No,Yes,8
4/14/2025 10:05:56,26,No,No,4
4/14/2025 10:06:09,33,Yes,Yes,4
4/14/2025 10:06:21,24,No,Yes,5
4/14/2025 10:06:40,20,Yes,Yes,4
4/14/2025 10:07:10,34,Yes,Yes,6
4/14/2025 10:07:27,30,Yes,No,3
4/14/2025 10:08:00,44,No,No,5
4/14/2025 10:08:16,32,No,Yes,5
4/14/2025 10:10:33,19,No,Yes,6
4/14/2025 10:24:56,22,No,No,2
4/14/2025 10:25:16,15,No,Yes,5
4/14/2025 10:25:26,15,Yes,Yes,4
4/15/2025 11:00:46,34,Yes,No,4
4/15/2025 11:01:01,20,No,Yes,5
4/15/2025 11:01:13,20,No,Yes,2
4/15/2025 11:01:34,40,No,Yes,6
4/15/2025 11:01:54,50,No,Yes,5
4/15/2025 11:02:05,51,Yes,Yes,3
4/15/2025 11:02:16,32,Yes,Yes,5
4/15/2025 11:02:27,26,No,Yes,5
4/15/2025 11:02:55,21,Yes,Yes,6
4/15/2025 11:03:08,20,Yes,Yes,6
4/15/2025 11:03:21,20,No,Yes,4
4/15/2025 11:03:32,16,Yes,Yes,5
4/15/2025 11:03:45,17,Yes,Yes,4
4/15/2025 11:03:57,17,Yes,Yes,5
4/15/2025 11:04:08,56,No,Yes,4
4/15/2025 11:04:24,14,No,Yes,3
4/15/2025 11:04:37,26,Yes,Yes,5
4/15/2025 11:04:50,22,No,Yes,3
4/15/2025 11:05:04,22,No,Yes,5
4/15/2025 11:05:15,22,No,No,2
4/15/2025 11:05:28,29,Yes,Yes,5
4/15/2025 11:05:39,29,No,Yes,3
4/15/2025 11:05:48,29,Yes,Yes,6
4/15/2025 11:06:09,32,Yes,Yes,4
4/15/2025 11:06:17,32,No,Yes,4
4/15/2025 11:06:26,33,No,Yes,4
4/15/2025 11:06:41,20,Yes,Yes,5