Timestamp,age,pineapple_on_pizza,tatsed_pineapple_pizza,How many slices of pizza could you eat in one sitting
4/10/2025 21:56:07,19,Yes,Yes,6
4/10/2025 21:56:18,41,Yes,Yes,3
4/10/2025 21:56:30,19,Yes,Yes,5
4/10/2025 21:57:03,25,No,Yes,4
4/10/2025 21:57:19,28,No,Yes,7
4/10/2025 22:03:11,22,Yes,Yes,5
4/10/2025 22:03:23,29,Yes,Yes,3
4/10/2025 22:03:40,34,Yes,Yes,5
4/10/2025 22:03:57,18,No,No,3
4/10/2025 22:04:13,19,No,No,7
4/10/2025 22:04:35,18,Yes,Yes,4
4/10/2025 22:05:00,61,Yes,Yes,3
4/10/2025 22:05:34,21,Yes,Yes,7
4/10/2025 22:05:55,21,No,No,5
4/10/2025 22:06:27,20,Yes,Yes,5
4/10/2025 22:06:44,20,No,No,6
4/10/2025 22:15:15,18,No,Yes,3
4/11/2025 9:28:09,20,Yes,Yes,5
4/11/2025 9:28:19,21,No,No,5
4/11/2025 9:28:29,19,No,No,6
4/11/2025 9:28:43,52,Yes,Yes,4
4/11/2025 9:28:55,21,No,No,3
4/11/2025 9:29:15,16,No,No,4
4/11/2025 9:29:30,17,Yes,Yes,6
4/11/2025 9:32:56,16,Yes,Yes,6
4/11/2025 9:34:16,22,No,No,2
4/11/2025 9:34:38,55,No,No,2